SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,December-7-2021,Single Family Residential,33 Winter St,Waltham,MA,2451,700000,4,2,Piety Corner,2170,15002,1955,,323,,Sold,,,https://www.redfin.com/MA/Waltham/33-Winter-St-02451/home/11804366,MLS PIN,72890468,N,Y,42.3946269,-71.2445675
PAST SALE,October-31-2019,Condo/Co-op,204 Clocktower Dr #212,Waltham,MA,2452,461000,2,1,Waltham,1030,,2009,,448,433,Sold,,,https://www.redfin.com/MA/Waltham/204-Clocktower-Dr-02452/unit-212/home/39584782,MLS PIN,72571000,N,Y,42.4093836,-71.2231042
PAST SALE,October-14-2021,Single Family Residential,214 Warren St,Waltham,MA,2453,825000,3,2,Warrendale,2988,6997,1955,,276,,Sold,,,https://www.redfin.com/MA/Waltham/214-Warren-St-02453/home/11810182,MLS PIN,72892752,N,Y,42.380281,-71.2043315
PAST SALE,December-21-2021,Single Family Residential,26 Marivista Ave,Waltham,MA,2451,550000,3,1.5,Lakeview,1104,3999,1962,,498,,Sold,,,https://www.redfin.com/MA/Waltham/26-Marivista-Ave-02451/home/11803237,MLS PIN,72916866,N,Y,42.4014497,-71.2396111
PAST SALE,December-6-2018,Multi-Family (2-4 Unit),46/48 Adams St,Waltham,MA,2453,591000,6,2.5,Waltham,2228,7500,1870,,265,,Sold,,,https://www.redfin.com/MA/Waltham/46-Adams-St-02453/home/11817165,MLS PIN,72381711,N,Y,42.3695472,-71.2394504
PAST SALE,February-28-2022,Single Family Residential,148 Brewster Rd,Waltham,MA,2451,1125000,3,3.5,Glendmeadow West,3209,9239,2013,,351,,Sold,,,https://www.redfin.com/MA/Waltham/148-Brewster-Rd-02451/home/11799243,MLS PIN,72933812,N,Y,42.4147038,-71.2478623
PAST SALE,October-15-2020,Single Family Residential,21 Barbara Rd,Waltham,MA,2453,682500,3,1.5,Waltham,1458,5750,1930,,468,,Sold,,,https://www.redfin.com/MA/Waltham/21-Barbara-Rd-02453/home/11815594,MLS PIN,72709872,N,Y,42.3756627,-71.2105969
PAST SALE,September-12-2018,Single Family Residential,121 Bedford St,Waltham,MA,2453,530000,4,2,Lower Cedarwood,2179,3250,1958,,243,,Sold,,,https://www.redfin.com/MA/Waltham/121-Bedford-St-02453/home/11811980,MLS PIN,72376951,N,Y,42.3720282,-71.2523172
PAST SALE,October-19-2018,Condo/Co-op,636 Moody St #3,Waltham,MA,2453,420000,2,1,Waltham,1120,,1900,,375,220,Sold,,,https://www.redfin.com/MA/Waltham/636-Moody-St-02453/unit-3/home/25715139,MLS PIN,72383258,N,Y,42.3653463,-71.2380323
PAST SALE,July-9-2021,Condo/Co-op,64 Cherry St #1,Waltham,MA,2453,286000,1,1,South Waltham,435,,1920,,657,120,Sold,,,https://www.redfin.com/MA/Waltham/64-Cherry-St-02453/unit-1/home/11823077,MLS PIN,72831252,N,Y,42.3672146,-71.239616
PAST SALE,February-28-2020,Single Family Residential,23 Wilbur St,Waltham,MA,2453,630000,3,3,Waltham,1650,5009,1960,,382,,Sold,,,https://www.redfin.com/MA/Waltham/23-Wilbur-St-02453/home/11809874,MLS PIN,72598663,N,Y,42.3823763,-71.2043783
PAST SALE,,Condo/Co-op,600 Trapelo Rd #1,Waltham,MA,2452,635000,2,3.5,,1344,,1998,,472,,,,,https://www.redfin.com/MA/Waltham/600-Trapelo-Rd-02452/unit-1/home/11798142,,,N,Y,42.4040861,-71.2169086
PAST SALE,June-26-2019,Single Family Residential,24 Lakeview Ter,Waltham,MA,2451,535000,4,1.5,Lakeview,1182,3000,1930,,453,,Sold,,,https://www.redfin.com/MA/Waltham/24-Lakeview-Ter-02451/home/11801861,MLS PIN,72497436,N,Y,42.4054624,-71.2452172
PAST SALE,February-17-2022,Condo/Co-op,1105 Lexington St Unit 6-6,Waltham,MA,2451,383750,2,1,Waltham,731,,1970,,525,455,Sold,,,https://www.redfin.com/MA/Waltham/1105-Lexington-St-02452/unit-6-6/home/11800636,MLS PIN,72928245,N,Y,42.4122892,-71.2322697
PAST SALE,May-27-2022,Multi-Family (2-4 Unit),153-155 Alder St,Waltham,MA,2453,940000,4,2,South Waltham,2092,5702,1910,,449,,Sold,,,https://www.redfin.com/MA/Waltham/153-Alder-St-02453/home/11818510,MLS PIN,72970233,N,Y,42.3656802,-71.2303868
PAST SALE,July-29-2022,Single Family Residential,118 Princeton Ave,Waltham,MA,2451,513000,2,1,Lakeview,806,3202,1930,,636,,Sold,,,https://www.redfin.com/MA/Waltham/118-Princeton-Ave-02451/home/11802108,MLS PIN,73004281,N,Y,42.4017129,-71.2434537
PAST SALE,December-29-2021,Single Family Residential,75 Virginia Rd,Waltham,MA,2451,876000,3,2,Cedarwood,2500,6000,1938,,350,,Sold,,,https://www.redfin.com/MA/Waltham/75-Virginia-Rd-02453/home/11815967,MLS PIN,72916652,N,Y,42.3714213,-71.2625725
PAST SALE,May-3-2021,Multi-Family (2-4 Unit),85 Colburn St,Waltham,MA,2453,600000,4,2,Waltham,1482,5619,1910,,405,,Sold,,,https://www.redfin.com/MA/Waltham/85-Colburn-St-02453/home/11821170,MLS PIN,72784909,N,Y,42.3744929,-71.2670064
PAST SALE,July-26-2019,Townhouse,88 Worcester Ln #88,Waltham,MA,2451,625000,2,2.5,Piety Corner,1592,,1997,,393,318,Sold,,,https://www.redfin.com/MA/Waltham/88-Worcester-Ln-02451/unit-88/home/77513166,MLS PIN,72501791,N,Y,42.3899497,-71.2437308
PAST SALE,September-3-2021,Townhouse,325 Bacon St #6,Waltham,MA,2451,792000,2,2.5,Piety Corner,2534,60000,2013,,313,318,Sold,,,https://www.redfin.com/MA/Waltham/325-Bacon-St-02451/unit-6/home/113787692,MLS PIN,72835624,N,Y,42.3874607,-71.2396272
PAST SALE,August-30-2018,Single Family Residential,59 Lincoln St,Waltham,MA,2451,1925000,5,5.5,Piety Corner,7252,35670,1925,,265,,Sold,,,https://www.redfin.com/MA/Waltham/59-Lincoln-St-02451/home/11804607,MLS PIN,72368477,N,Y,42.3931448,-71.2399733
PAST SALE,August-17-2020,Condo/Co-op,83 Guinan St #1,Waltham,MA,2451,425000,2,1,Waltham,768,,1900,,553,200,Sold,,,https://www.redfin.com/MA/Waltham/83-Guinan-St-02451/unit-1/home/28920260,MLS PIN,72680480,N,Y,42.38086424,-71.24605958
PAST SALE,November-19-2018,Single Family Residential,20 Ivy Ln,Waltham,MA,2452,903000,4,2.5,Forest Street by Bentley College,3584,23290,1977,,252,,Sold,,,https://www.redfin.com/MA/Waltham/20-Ivy-Ln-02452/home/11806901,MLS PIN,72408813,N,Y,42.3898521,-71.2266544
PAST SALE,April-1-2019,Single Family Residential,11 Potter Rd,Waltham,MA,2453,645000,3,3,Waltham,2393,8102,1950,,270,,Sold,,,https://www.redfin.com/MA/Waltham/11-Potter-Rd-02453/home/11814268,MLS PIN,72462297,N,Y,42.376781,-71.2194138
PAST SALE,,Condo/Co-op,53 Bartlett Way #204,Waltham,MA,2452,720000,2,2,,1585,,2006,,454,,,,,https://www.redfin.com/MA/Waltham/53-Bartlett-Way-02452/unit-204/home/12430742,,,N,Y,42.4092234,-71.2250069
PAST SALE,January-28-2021,Multi-Family (2-4 Unit),70 Cherry St,Waltham,MA,2453,760000,3,2,Waltham,1973,7035,1910,,385,,Sold,,,https://www.redfin.com/MA/Waltham/70-Cherry-St-02453/home/11817485,MLS PIN,72746785,N,Y,42.367178,-71.2393899
PAST SALE,August-6-2021,Condo/Co-op,53 Bartlett Way #1204,Waltham,MA,2451,720000,2,2,Waltham,1585,,2006,,454,598,Sold,,,https://www.redfin.com/MA/Waltham/53-Bartlett-Way-02452/unit-1204/home/175622144,MLS PIN,72862514,N,Y,42.4092234,-71.2250069
PAST SALE,April-26-2019,Single Family Residential,11 Crestview Rd,Waltham,MA,2451,505000,3,1,Waltham,944,10979,1952,,535,,Sold,,,https://www.redfin.com/MA/Waltham/11-Crestview-Rd-02451/home/113075377,MLS PIN,72454073,N,Y,42.4199299,-71.2636398
PAST SALE,July-16-2018,Condo/Co-op,50 Lionel Ave Unit D,Waltham,MA,2452,371000,2,1,Waltham,780,,1979,,476,366,Sold,,,https://www.redfin.com/MA/Waltham/50-Lionel-Ave-02452/unit-D/home/11800860,MLS PIN,72336854,N,Y,42.4063821,-71.231538
PAST SALE,May-28-2021,Single Family Residential,81 Robbins St,Waltham,MA,2453,635000,3,1.5,Waltham,1508,6752,1900,,421,,Sold,,,https://www.redfin.com/MA/Waltham/81-Robbins-St-02453/home/11821664,MLS PIN,72823414,N,Y,42.3644062,-71.2397412
PAST SALE,November-18-2021,Single Family Residential,66 Arcadia Ave,Waltham,MA,2451,970000,3,3.5,Briarwood,1920,3977,2015,,505,,Sold,,,https://www.redfin.com/MA/Waltham/66-Arcadia-Ave-02452/home/11805550,MLS PIN,72902079,N,Y,42.3985714,-71.2027399
PAST SALE,February-25-2021,Townhouse,14 Bishops Forest Dr #14,Waltham,MA,2452,663925,2,3.5,Waltham,2571,2613600,1995,,258,519,Sold,,,https://www.redfin.com/MA/Waltham/14-Bishops-Forest-Dr-02452/unit-14/home/77504611,MLS PIN,72766296,N,Y,42.40216,-71.232175
PAST SALE,April-16-2019,Condo/Co-op,388 Crescent St #3,Waltham,MA,2453,327000,1,1,Waltham,758,,1950,,431,275,Sold,,,https://www.redfin.com/MA/Waltham/388-Crescent-St-02453/unit-3/home/11822944,MLS PIN,72462158,N,Y,42.3621754,-71.2407685
PAST SALE,July-2-2019,Townhouse,71 Bennett St #2,Waltham,MA,2453,604000,3,2.5,Waltham,1700,,2006,,355,,Sold,,,https://www.redfin.com/MA/Waltham/71-Bennett-St-02453/unit-2/home/11823068,MLS PIN,72485993,N,Y,42.3735255,-71.2225344
PAST SALE,April-28-2022,Single Family Residential,21 Shawmut Rd,Waltham,MA,2452,700000,3,2,Waltham,2223,9474,1960,,315,,Sold,,,https://www.redfin.com/MA/Waltham/21-Shawmut-Rd-02452/home/11807149,MLS PIN,72960917,N,Y,42.3893842,-71.2021966
PAST SALE,October-15-2021,Townhouse,35 Maple #3,Waltham,MA,2451,589000,4,2,Waltham,1513,,1900,,389,252,Sold,,,https://www.redfin.com/MA/Waltham/35-Maple-St-02453/unit-3/home/39584783,MLS PIN,72899176,N,Y,42.3679864,-71.2407923
PAST SALE,January-27-2021,Single Family Residential,30 Rosemont Ave,Waltham,MA,2451,890000,4,3.5,Waltham,2774,3596,2020,,321,,Sold,,,https://www.redfin.com/MA/Waltham/30-Rosemont-Ave-02451/home/173887653,MLS PIN,72764264,N,Y,42.3995152,-71.2415936
PAST SALE,August-20-2019,Single Family Residential,22 Florence Rd,Waltham,MA,2453,925000,4,2.5,Cedarwood Community,2554,5009,2010,,362,,Sold,,,https://www.redfin.com/MA/Waltham/22-Florence-Rd-02453/home/26837476,MLS PIN,72535430,N,Y,42.3716079,-71.2599255
PAST SALE,October-1-2019,Condo/Co-op,90 Lionel Ave Unit A,Waltham,MA,2452,400000,2,1,Waltham,830,,1979,,482,375,Sold,,,https://www.redfin.com/MA/Waltham/90-Lionel-Ave-02452/unit-A/home/11800867,MLS PIN,72550433,N,Y,42.4059995,-71.2307282
PAST SALE,August-21-2020,Townhouse,210 Ash St #2,Waltham,MA,2453,825000,3,2.5,Waltham,2282,,2016,,362,250,Sold,,,https://www.redfin.com/MA/Waltham/210-Ash-St-02453/unit-2/home/108266010,MLS PIN,72687851,N,Y,42.365127,-71.2332443
